state,fips,state_abb,year,secondary,adj_primary,adj_secondary_primary,primary,violentcrimerate_ce,propcrimerate_ce,pctblack,pcthisp,medinc,age,dieseltax,gastax,state_abbrev,fatal,fatal_occupant,fatal_non_occupant,vmt_rural,vmt_urban,vmt_total,rate_occupant,rate_non_occupant,speed65,speed70,mlda21,bac8,rearsecondary,mv_registrations,rural_miles,urban_miles,rate,secondary_primary,unemprate,automobiles,buses,trucks,total,motorcycle,urban_den,rural_den,ln_pctblack,ln_pcthisp,ln_medinc,ln_age,ln_gastax,ln_violentcrimerate,ln_propcrimerate,ln_unemprate,ln_ruralvmt,ln_urbanvmt,ln_ruralden,ln_urbanden,adj_occrate,adj_nonoccrate,ln_adjocrat,ln_adjnonocrat
washington,53,WA,1990,1,0,0,0,1.51,48.779999,3.1485345,4.4428124,20222,34.139374,22,22,WA,825,730,95,16764,27931,44695,16.332924,2.1255174,1,0,1,0,0,4256866,65039,16260,,0,5.166666666666667,2950647,7064,1299155,4256866,119318,181.4666,45.367348,1.1469371,1.4912876,9.914526,3.5304513,3.0910425,.41210964,3.8873203,1.6422278,9.7269888,10.237493,3.8147926,5.2010717,.016332924,.0021255175,-4.1145725,-6.1537399
west virginia,54,WV,1990,0,0,0,0,.597,23.700001,3.1278384,.43374011,14608,36.892258,20.35,20.35,WV,481,441,40,10948,4470,15418,28.602932,2.5943701,1,0,1,0,0,1224947,31516,3076,,0,8.624999999999998,767745,3783,453419,1224947,22138,249.592,24.360483,1.1403421,-.83530974,9.589325,3.6080017,3.0130808,-.51583815,3.1654751,2.154665,9.3009119,8.4051437,3.1929622,5.5198274,.028602932,.0025943702,-3.5542459,-5.9544115
wisconsin,55,WI,1990,1,0,0,0,1.082,30.503,5.0570674,1.9070815,18438,34.858013,21.5,21.5,WI,769,690,79,23390,20887,44277,15.583712,1.784222,1,0,1,0,0,3671859,95481,14395,,0,4.366666666666667,2549321,12312,1252678,3814311,189102,177.09767,26.699772,1.6207868,.64557403,9.8221693,3.5512831,3.068053,.078811198,3.417825,1.474,10.060064,9.9468822,3.2846551,5.1767015,.015583712,.001784222,-4.1615291,-6.328773
wyoming,56,WY,1990,1,0,0,0,.463,32.251999,.79040754,5.6258678,18147,32.960716,9,9,WY,125,116,9,4479,1354,5833,19.88685,1.5429453,1,0,1,0,0,528421,37261,1952,,0,5.125000000000001,262879,2413,263129,528421,20310,134.67162,7.0550709,-.23520659,1.7273753,9.8062601,3.4953165,2.1972246,-.77002823,3.4735801,1.6341305,8.407155,7.2108183,1.9537467,4.9028392,.019886849,.0015429453,-3.9176967,-6.474062
alabama,1,AL,1991,0,0,0,0,1.999,45.214001,25.377909,.61017436,16572,35.151554,14,13,AL,1116,1001,115,22577,20347,42924,23.320288,2.6791539,1,0,1,0,0,3698602,73838,16885,,0,7.325,2214858,8248,1260691,3483797,40645,131.17311,29.996181,3.2338791,-.49401054,9.7154694,3.5596688,2.5649493,.69264704,3.8114069,1.9912932,10.024687,9.9206886,3.4010701,4.8765178,.023320287,.0026791538,-3.7584317,-5.9222541
alaska,2,AK,1991,1,0,0,0,2.1239998,50.876999,4.0389833,3.1284142,23510,29.025354,8,8,AK,101,81,20,2281,1740,4021,20.144243,4.973887,0,0,1,0,0,470903,11963,1561,,0,8.341666666666665,230821,2020,238062,470903,11016,147.86739,19.294575,1.395993,1.1405262,10.065181,3.3681698,2.0794415,.75330102,3.9294109,2.121263,7.7323694,7.4616404,2.9598238,4.996316,.020144243,.004973887,-3.9048367,-5.3035536
arizona,4,AZ,1991,1,0,0,0,2.1589999,67.348999,3.2200489,19.47555,17731,34.391823,18,18,AZ,816,664,152,13602,21327,34929,19.009993,4.351685,1,0,1,0,0,2848537,41153,14170,,0,5.858333333333333,1840969,4430,1003138,2848537,80517,129.92018,44.734745,1.1693965,2.9691598,9.7830696,3.5378189,2.8903718,.76964509,4.209888,1.7678652,9.517972,9.9677296,3.8007505,4.8669205,.019009992,.0043516848,-3.9627905,-5.437192
arkansas,5,AR,1991,1,0,0,0,1.913,45.817001,15.953464,.8840003,15299,35.980122,18.7,18.7,AR,608,550,58,14079,7855,21934,25.075226,2.6442964,1,0,1,0,0,1479637,69486,7683,,0,7.308333333333333,873479,5489,600669,1479637,14000,113.68983,12.570576,2.769676,-.12329788,9.6355429,3.5829666,2.9285235,.6486727,3.8246553,1.9890152,9.5524397,8.9689054,2.5313587,4.7334738,.025075225,.0026442965,-3.6858749,-5.9353504
california,6,CA,1991,1,0,0,0,4.664,56.827,7.7501802,26.557425,21857,32.999977,15,15,CA,4688,3679,1009,55094,202882,257976,14.261017,3.9112165,1,0,1,1,0,22252741,91034,74847,,0,7.824999999999999,15017681,40381,7194679,22252741,651370,200.64507,164.96782,2.0477161,3.2793093,9.9922762,3.4965069,2.7080503,1.5398735,4.0400114,2.0573237,10.916796,12.22038,5.1057506,5.3015375,.014261017,.0039112163,-4.2502255,-5.5439067
colorado,8,CO,1991,1,0,0,0,1.603,55.147999,4.1950107,13.235881,20549,33.505337,18,22,CO,543,480,63,11459,16285,27744,17.301039,2.2707613,1,0,1,0,0,3045247,66539,11341,,0,5.283333333333334,1929053,5507,1110687,3045247,88868,170.09549,28.991314,1.4338958,2.5829313,9.9305677,3.5117047,3.0910425,.47187689,4.0100203,1.6645572,9.3465309,9.698,3.3669963,5.1363602,.017301038,.0022707612,-4.0569887,-6.0876403
connecticut,9,CT,1991,0,1,0,1,2.5929999,48.243999,8.8335228,6.8067865,26588,36.17857,18,25,CT,310,255,55,6715,19913,26628,9.5763855,2.065495,0,0,1,0,0,2588777,9160,10964,,0,6.55,2035154,8521,545102,2588777,50882,185.62149,222.17839,2.1785538,1.9179201,10.188215,3.5884669,3.2188759,.95281547,3.8762715,1.8794651,8.8120995,9.899128,5.4034805,5.2237096,.0095763858,.0020654951,-4.6484551,-6.1823854
delaware,10,DE,1991,0,0,0,0,3.066,51.550999,17.36268,2.5289865,22247,34.799,19,19,DE,102,83,19,2880,3841,6721,12.349353,2.8269603,0,0,1,0,0,533567,3869,1643,,0,5.916666666666667,375499,2164,155904,533567,9232,228.54474,97.053246,2.8543231,.9278186,10.009962,3.5495887,2.9444389,1.1203737,3.9425716,1.7777733,7.9655457,8.2534876,4.5752597,5.4317322,.012349353,.0028269603,-4.3941517,-5.8685532
district of columbia,11,DC,1991,1,0,0,0,13.32,83.147003,66.294876,5.6704445,27521,35.762272,18,18,DC,63,38,25,0,3430,3430,11.078717,7.2886295,0,0,1,0,0,246390,0,1102,,0,7.699999999999998,213691,2818,29881,246390,2057,193.91197,0,4.1941128,1.7352675,10.222705,3.5768936,2.8903718,2.5892665,4.42061,2.0412204,0,8.140316,0,5.2674041,.011078717,.0072886297,-4.5027294,-4.9214396
florida,12,FL,1991,1,0,0,0,4.6089997,73.628998,13.936515,12.561671,20073,38.238838,12.2,11.2,FL,2463,1849,614,32836,80483,113319,16.316769,5.4183321,1,0,1,0,0,9980078,61627,47747,,0,7.641666666666667,7135394,37501,2807181,9980076,196031,149.44173,115.78357,2.6345124,2.5306501,9.9071312,3.6438518,2.4159138,1.5280108,4.2990389,2.0336158,10.399281,11.295801,4.7517228,5.0069065,.016316768,.0054183323,-4.115562,-5.217967
georgia,13,GA,1991,1,0,0,0,3.2329998,57.551998,27.290947,1.8482175,18322,33.269558,7.5,7.5,GA,1389,1207,182,34448,38557,73005,16.533113,2.49298,1,0,1,0,0,5714189,88425,22057,,0,5.291666666666667,3879128,14918,1820143,5714189,77524,175.86835,43.869133,3.306555,.61422163,9.8158579,3.5046427,2.0149031,1.1734104,4.0526891,1.6661333,10.447206,10.559893,3.7812109,5.1697359,.016533114,.0024929801,-4.1023898,-5.9942765
hawaii,15,HI,1991,0,1,0,1,1.239,57.285999,2.6295927,7.4101343,23253,34.261887,16,16,HI,135,107,28,2874,5269,8143,13.140121,3.4385362,0,0,1,0,0,785004,2595,1507,,0,2.791666666666666,552084,4273,228647,785004,20857,366.34637,212.74913,.96682894,2.0028486,10.05419,3.5340335,2.7725887,.21430457,4.0480561,1.0266387,7.96346,8.5695963,5.3601136,5.9035792,.013140121,.0034385361,-4.3320851,-5.6727095
idaho,16,ID,1991,1,0,0,0,.514,39.055,.35906488,5.4160314,16509,33.446636,21,21,ID,264,243,21,7111,3207,10318,23.551075,2.0352781,1,0,1,0,0,1055369,59471,2738,,0,6.341666666666666,568229,3794,483346,1055369,33198,207.53433,9.5547237,-1.0242522,1.6893634,9.7116613,3.5099511,3.0445225,-.66553199,3.6649709,1.8471416,8.8693981,8.0730915,2.2570357,5.3352966,.023551075,.0020352781,-3.7485838,-6.1971226
illinois,17,IL,1991,1,0,0,0,5.0739999,50.929001,15.036247,8.2690811,21253,34.781281,21.5,19,IL,1448,1196,252,26929,58501,85430,13.999766,2.9497836,1,0,1,0,0,8192744,104040,32131,,0,7.283333333333334,6046682,16622,2129440,8192744,184380,188.18842,58.11882,2.7104638,2.1125233,9.9642534,3.5490794,2.9444389,1.6241294,3.9304326,1.9855887,10.200959,10.976799,4.0624895,5.2374434,.013999767,.0029497836,-4.2687144,-5.8260236
indiana,18,IN,1991,1,0,0,0,1.648,43.125,7.9151049,1.8310523,18121,34.93671,16,15,IN,1022,914,108,29498,24768,54266,16.842958,1.9901965,1,0,1,0,0,4413624,74107,17922,,0,5.7,2957777,22071,1433776,4413624,96812,165.0361,39.912247,2.068773,.60489082,9.8048267,3.5535381,2.7080503,.49956244,3.7641029,1.7404661,10.292078,10.117308,3.6866832,5.1061645,.016842958,.0019901965,-4.0838227,-6.219522
iowa,19,IA,1991,0,1,0,1,.67900002,38.306999,1.7922064,1.2534257,17924,36.276249,22.5,20,IA,488,443,45,15026,7994,23020,19.244135,1.9548219,1,0,1,0,0,2668436,103749,8805,,0,4.691666666666666,1733477,9152,925807,2668436,165451,196.87416,16.708374,.58344752,.22588037,9.7938957,3.5911632,2.9957323,-.38713413,3.6456327,1.5457879,9.6175375,8.9864464,2.8159101,5.2825646,.019244134,.0019548219,-3.9505489,-6.2374563
kansas,20,KS,1991,1,0,0,0,1.893,50.347,5.8649983,3.9424155,18934,35.07119,19,17,KS,409,382,27,12793,10393,23186,16.47546,1.1644958,1,0,1,0,0,1879442,124360,9107,,0,4.45,1189070,3780,686592,1879442,59224,130.5666,9.5615149,1.7690022,1.3717936,9.8487148,3.55738,2.8332133,.63816285,3.9189391,1.4929041,9.4566536,9.248888,2.2577462,4.8718834,.01647546,.0011644958,-4.1058831,-6.7554669
kentucky,21,KY,1991,0,0,0,0,1.253,29.202999,7.1769333,.58866388,16345,35.121578,12.4,15.4,KY,826,764,62,20911,14302,35213,21.696533,1.7607133,1,0,1,0,0,2962763,62029,7697,,0,7.316666666666667,1899035,10314,1032753,2942102,34328,246.72404,30.615276,1.9708722,-.52989995,9.7016773,3.5588157,2.7343676,.2255407,3.3742714,1.9901549,9.9480305,9.5681543,3.421499,5.5082703,.021696534,.0017607133,-3.8306026,-6.3420362
louisiana,22,LA,1991,1,0,0,0,3.3670001,54.735001,31.077648,2.2119875,16084,33.293209,20,20,LA,862,694,168,18584,16126,34710,19.994238,4.8401036,1,0,1,0,0,3045788,46264,12272,,0,7.241666666666667,1953115,19706,1072967,3045788,32332,159.15213,42.216736,3.4364889,.79389143,9.6855803,3.5053535,2.9957323,1.2140222,4.0025034,1.9798514,9.8300562,9.6881886,3.7428167,5.0698605,.019994238,.0048401034,-3.9123111,-5.3308191
maine,23,ME,1991,0,0,0,0,.458,36.355999,.42406279,.53375649,17986,35.73111,20,19,ME,205,195,10,8723,3126,11849,16.457085,.84395307,1,0,1,1,0,978849,19943,2501,,0,7.783333333333332,623924,2850,352075,978849,37141,249.46982,31.285364,-.85787374,-.62781554,9.797349,3.5760217,2.9444389,-.78088611,3.5933592,2.0519848,9.0737181,8.0475092,3.4431503,5.5193381,.016457085,.00084395305,-4.1069994,-7.0774136
maryland,24,MD,1991,1,0,0,0,4.6470003,52.530998,25.444729,2.7762318,23605,34.373295,18.5,18.5,MD,694,546,148,14042,27307,41349,13.204673,3.5792885,0,0,1,0,0,3630236,16575,12409,,0,5.941666666666666,2693211,10979,926046,3630236,54906,217.03691,162.48633,3.2365086,1.0210946,10.069214,3.5372798,2.9177706,1.5362219,3.9614034,1.7819897,9.5498085,10.214898,5.0905938,5.3800673,.013204672,.0035792885,-4.3271847,-5.6325912
massachusetts,25,MA,1991,0,0,0,0,2.309,45.862,5.6088176,4.9845891,23486,35.850426,21,21,MA,552,432,120,8697,37840,46537,9.2829361,2.5785935,0,0,1,0,0,3663843,13306,21017,,0,8.858333333333333,2897572,10675,755596,3663843,53649,137.86801,217.76431,1.72434,1.606351,10.064159,3.5793555,3.0445225,.83681452,3.8256369,2.1813586,9.0707331,10.541122,5.3834133,4.9262967,.0092829363,.0025785936,-4.6795774,-5.9605112
michigan,26,MI,1991,1,0,0,0,3.3279998,53.349998,14.099139,2.247787,19298,34.449364,15,15,MI,1421,1201,220,33118,48817,81935,14.657961,2.6850553,1,0,1,0,0,7244938,90780,26765,,0,9.283333333333333,5001380,23135,2220423,7244938,166125,186.8627,55.093414,2.6461136,.80994618,9.8677568,3.5394905,2.7080503,1.2023715,3.9768739,2.2282207,10.407832,10.795834,4.0090303,5.2303743,.014657961,.0026850554,-4.2227716,-5.920054
minnesota,27,MN,1991,1,0,0,0,1.408,41.801998,2.3098686,1.302766,20322,34.478008,20,20,MN,531,463,68,18528,20726,39254,11.794976,1.7323076,1,0,1,0,0,3273163,114641,14797,,0,5.108333333333333,2160588,14734,1097831,3273153,112367,146.01527,18.846556,.83719063,.26448968,9.9194593,3.5403216,2.9957323,.34217024,3.7329443,1.6308732,9.8270388,9.9391441,2.9363301,4.9837112,.011794976,.0017323076,-4.4400816,-6.3583007
mississippi,28,MS,1991,1,0,0,0,1.7539999,38.317001,35.828693,.58647811,13964,33.961494,18.2,18.2,MS,714,655,59,16962,7935,24897,26.30839,2.3697634,1,0,1,0,0,1887441,65170,7360,,0,8.391666666666666,1208822,8684,669935,1887441,26198,164.24213,18.54875,3.5787492,-.53361994,9.5442381,3.5252273,2.9014215,.56189889,3.6458938,2.1272392,9.7387304,8.9790382,2.9204023,5.1013417,.026308389,.0023697633,-3.6378675,-6.0449653
missouri,29,MO,1991,1,0,0,0,2.9560001,46.526001,10.84016,1.2159626,18559,35.668167,11,11.03,MO,1011,933,78,24976,26006,50982,18.300577,1.5299517,1,0,1,0,0,3950125,106022,16033,,0,6.566666666666666,2598722,11958,1339445,3950125,60783,162.08582,24.511158,2.3832579,.19553606,9.8287106,3.5742586,2.4006188,1.083837,3.8400114,1.8820063,10.12567,10.166082,3.1991284,5.0881257,.018300578,.0015299517,-4.0008225,-6.4825191
montana,30,MT,1991,1,0,0,0,.41,35.083,.28023416,1.4611945,16298,35.179428,20,20,MT,200,184,16,6221,2093,8314,22.131344,1.9244647,1,0,1,0,0,765754,68492,2275,,0,6.933333333333333,404194,2438,359122,765754,21185,177.66769,5.9013314,-1.2721298,.37925425,9.6987972,3.5604615,2.9957323,-.89159811,3.5577166,1.9363407,8.7356863,7.6463537,1.775178,5.179915,.022131344,.0019244647,-3.8107605,-6.2531075
nebraska,31,NE,1991,0,0,0,0,.85400003,40.195,3.6964283,2.474123,18989,35.228058,23.5,23.7,NE,275,253,22,8932,5163,14095,17.949627,1.5608371,1,0,1,0,0,1404444,87707,4961,,0,2.658333333333334,866514,5029,532901,1404444,20667,174.66519,9.8796444,1.3073671,.90588599,9.851615,3.5618429,3.1654751,-.15782405,3.6937425,.97769934,9.0973959,8.5492735,2.2904766,5.1628709,.017949628,.0015608371,-4.0201859,-6.462533
nevada,32,NV,1991,1,0,0,0,3.9029999,56.216999,6.7890735,11.049545,21228,34.383659,24.5,21.5,NV,298,255,43,4372,6138,10510,24.262608,4.0913415,1,0,1,0,0,881274,42422,3156,,0,5.899999999999999,545584,1766,333924,881274,19833,172.87199,12.860874,1.9153144,2.4023893,9.9630766,3.5375814,3.068053,1.3617455,4.0292192,1.7749523,8.3829756,8.7222538,2.5541897,5.1525512,.024262607,.0040913415,-3.7188189,-5.4988823
new hampshire,33,NH,1991,0,0,0,0,.66500002,33.285,.60769653,1.0252907,21436,34.503075,18.6,18.6,NH,144,130,14,6263,3672,9935,13.085052,1.4091595,1,0,1,0,0,906464,12435,2433,,0,6.800000000000001,613873,1685,290906,906464,36692,252.31114,49.366547,-.49807966,.024976209,9.972827,3.5410485,2.9231615,-.40796819,3.5051069,1.9169226,8.7424145,8.2084913,3.8992729,5.530663,.013085052,.0014091595,-4.3362846,-6.5647616
new jersey,34,NJ,1991,1,0,0,0,3.2739999,47.965,14.062041,10.049834,25072,36.032772,13.5,10.5,NJ,783,584,199,11747,47542,59289,9.8500566,3.3564405,0,0,1,0,0,5518967,11767,22501,,0,6.783333333333334,4354315,17879,1146763,5518957,86096,193.51651,370.04462,2.6434791,2.3075562,10.129507,3.5844288,2.3513753,1.1860125,3.8704715,1.9144686,9.3713531,10.769369,5.9136238,5.2653627,.0098500568,.0033564405,-4.6202779,-5.6968741
new mexico,35,NM,1991,0,1,0,1,1.832,58.445999,2.1485174,38.699612,16034,33.001553,17,17,NM,469,374,95,10242,6531,16773,22.297741,5.6638646,1,0,1,0,0,1320488,50407,5669,,0,7.266666666666667,758560,3401,558527,1320488,32083,133.80843,15.048703,.76477802,3.6558297,9.6824665,3.4965546,2.8332133,.60540825,4.0681033,1.9832977,9.234252,8.7843151,2.7112918,4.896409,.022297742,.0056638648,-3.8032699,-5.1736488
new york,36,NY,1991,0,1,0,1,6.645,50.806999,17.192657,12.605665,23868,35.569553,22.765,20.815,NY,2008,1448,560,31685,75976,107661,13.449624,5.2015123,0,0,1,0,0,9771437,73381,38061,,0,7.308333333333334,7729805,33200,2008432,9771437,197851,203.0899,105.33796,2.8444824,2.5341463,10.080294,3.57149,3.0356739,1.8938646,3.9280341,1.9890152,10.363599,11.238173,4.6571736,5.3136487,.013449624,.0052015125,-4.308804,-5.2588058
north carolina,37,NC,1991,0,1,0,1,2.24,52.303001,22.171358,1.2625364,17967,35.050701,22.6,22.6,NC,1369,1143,226,34857,30026,64883,17.616325,3.4831929,1,0,1,0,0,5216177,75572,19572,,0,5.908333333333334,3461570,34946,1719661,5216177,58406,176.86337,45.804928,3.0988014,.23312272,9.7962923,3.5567956,3.11795,.80647588,3.9570537,1.7763637,10.459009,10.309819,3.8243916,5.1753774,.017616326,.003483193,-4.038929,-5.6598058
north dakota,38,ND,1991,0,0,0,0,.27399999,27.285,.5393604,.72229308,16340,35.25267,17,17,ND,94,87,7,4401,1550,5951,14.619391,1.1762729,1,0,1,0,0,828872,84814,1811,,0,4.366666666666666,344769,2177,281726,628672,19181,190.37492,4.065001,-.61737126,-.3253243,9.7013712,3.5625412,2.8332133,-1.2946272,3.3063371,1.474,8.3895874,7.3460102,1.402414,5.2489953,.014619391,.0011762729,-4.2254066,-6.7454042
ohio,39,OH,1991,1,0,0,0,2.7489998,44.712002,10.848391,1.3208216,18973,35.288605,21,21,OH,1636,1436,200,36531,56471,93002,15.440528,2.1504915,1,0,1,0,0,8884599,82178,31387,,0,6.533333333333334,6344715,30979,2308905,8684599,235975,202.14468,77.206978,2.3840168,.278254,9.8507719,3.56356,3.0445225,1.0112371,3.8002419,1.8769172,10.505917,10.941483,4.3464899,5.3089838,.015440528,.0021504916,-4.1707597,-6.1420588
oklahoma,40,OK,1991,1,0,0,0,1.87,50.849998,7.5712347,2.8294346,16589,35.193161,14,17,OK,652,597,55,16922,17318,34240,17.435747,1.6063085,1,0,1,0,0,2669312,99844,12417,,0,6,1573573,13447,1082292,2669312,58990,126.72731,15.760316,2.0243561,1.040077,9.7164955,3.5608518,2.8332133,.62593842,3.92888,1.7917595,9.7363701,9.7595015,2.7574952,4.8420377,.017435746,.0016063085,-4.049233,-6.4338164
oregon,41,OR,1991,0,1,0,1,2.0810001,52.487999,1.6991936,4.2372103,18670,35.650558,20,20,OR,482,419,63,13995,11767,25762,16.264265,2.4454622,1,0,1,1,0,2506950,86944,9358,,0,6.199999999999999,1503586,10994,992370,2506950,62369,160.67386,17.29373,.53015381,1.4439051,9.8346729,3.5737648,2.9957323,.73284858,3.9605846,1.8245493,9.5464554,9.3730545,2.8503439,5.0793767,.016264265,.0024454622,-4.1187849,-6.0135212
pennsylvania,42,PA,1991,1,0,0,0,2.289,31.086,9.4426517,2.052217,20244,36.947697,22.35,22.35,PA,1661,1409,252,39258,48024,87282,16.143076,2.8871932,0,0,1,0,0,8037808,88290,28398,,0,6.916666666666668,5747840,31187,2258781,8037808,167326,202.40298,65.101822,2.2452369,.71892065,9.9156141,3.6095033,3.1068263,.82811505,3.4367576,1.933934,10.57791,10.779456,4.1759524,5.3102608,.016143076,.0028871931,-4.1262641,-5.8474703
rhode island,44,RI,1991,1,0,0,0,1.575,45.773998,4.4946365,4.9061546,20419,36.369171,26,26,RI,88,72,16,976,6176,7152,10.067114,2.2371364,0,0,1,0,0,628407,1523,4597,,0,8.416666666666666,501554,1600,125253,628407,23125,109.10464,329.31976,1.5028847,1.5904905,9.924221,3.5937214,3.2580965,.45425531,3.8237162,2.130214,6.8834624,8.728426,5.797029,4.6923075,.010067114,.0022371365,-4.5984812,-6.1025586
south carolina,45,SC,1991,1,0,0,0,2.4130001,52.067001,29.973024,.93087506,16495,34.065903,16,16,SC,890,743,147,22252,12204,34456,21.563734,4.2663107,1,0,1,0,0,2471245,54724,9358,,0,6.108333333333334,1712422,13990,744833,2471245,29406,182.99017,31.291975,3.4002979,-.07163021,9.7108126,3.5282969,2.7725887,.88087082,3.9525313,1.809654,10.010187,9.4095192,3.4433618,5.2094326,.021563735,.0042663105,-3.8367424,-5.457006
south dakota,46,SD,1991,0,0,0,0,.602,28.969999,.45006955,.68441272,17006,35.018169,18,18,SD,143,128,15,5223,1488,6711,19.073164,2.2351363,1,0,1,0,0,701987,81486,1751,,0,3.525,414182,2525,285280,701987,24152,236.54027,5.0828609,-.79835314,-.37919414,9.7413216,3.555867,2.8903718,-.50749785,3.3662608,1.2598804,8.5608273,7.3051882,1.6258743,5.4661183,.019073164,.0022351362,-3.9594729,-6.1034532
tennessee,47,TN,1991,1,0,0,0,2.7029998,46.407001,16.080217,.71864241,17318,35.362843,17,20,TN,1113,1002,111,23158,24109,47267,21.198723,2.3483615,1,0,1,0,0,4541676,69376,15476,,0,6.600000000000001,3041367,14467,1485842,4541676,74290,196.52151,43.838894,2.7775898,-.33039138,9.7595015,3.5656617,2.9957323,.99436218,3.8374503,1.8870697,10.050096,10.090341,3.7805214,5.2807717,.021198723,.0023483615,-3.8538144,-6.0540376
texas,48,TX,1991,0,1,0,1,3.552,69.790001,12.054044,26.24704,17897,32.604244,20,20,TX,3078,2509,569,55529,103227,158756,15.804127,3.5841165,1,0,1,0,0,12969540,217294,76215,,0,6.983333333333333,7912725,61732,4722083,12696540,185167,103.8211,36.414833,2.4894001,3.2675533,9.792388,3.4844425,2.9957323,1.2675109,4.2454906,1.9435264,10.924661,11.544685,3.5949762,4.6426692,.015804127,.0035841165,-4.1474843,-5.6312432
utah,49,UT,1991,1,0,0,0,1.036,53.208,.72239268,5.1686726,15656,29.633873,19,19,UT,271,237,34,5970,9421,15391,15.398609,2.2090833,1,0,1,1,0,1229730,37523,5632,,0,4.758333333333332,762179,1171,466380,1229730,24473,135.33008,20.312315,-.3251864,1.6426159,9.6586094,3.3889182,2.9444389,.035367157,3.9742088,1.5598974,8.6945019,9.1506968,3.0112274,4.9077168,.015398609,.0022090834,-4.1734781,-6.1151776
vermont,50,VT,1991,0,0,0,0,.44400001,38.383999,.34399918,.6285547,18465,34.623482,17,16,VT,110,99,11,4269,1601,5870,16.865417,1.8739352,1,0,1,1,0,446819,12940,1196,,0,5.958333333333335,285193,1784,159842,446819,18433,238.45569,22.039644,-1.067116,-.46433222,9.8236322,3.5445321,2.7725887,-.81193072,3.6476407,1.7847908,8.3591347,7.3783836,3.0928428,5.4741836,.016865417,.0018739352,-4.08249,-6.2797146
virginia,51,VA,1991,1,0,0,0,1.768,42.341999,19.078758,2.7019384,21431,34.271263,16.2,17.7,VA,948,814,134,28670,32429,61099,13.32264,2.193162,1,0,1,0,0,5022222,52634,15409,,0,5.808333333333333,3505220,16482,1500520,5022222,61327,227.47874,66.596115,2.9485755,.99396944,9.9725933,3.5343072,2.8735647,.56984895,3.7457795,1.7592937,10.263607,10.386808,4.1986461,5.4270568,.01332264,.002193162,-4.3182902,-6.1224108
washington,53,WA,1991,1,0,0,0,2.2,57.814999,3.2058907,4.6552629,21129,34.313347,23,23,WA,682,598,84,17295,29154,46449,12.874335,1.8084351,1,0,1,0,0,4403604,63313,16569,,0,6.091666666666668,2876768,5566,1521270,4403604,115613,173.62352,45.437241,1.1649899,1.5379984,9.9584017,3.5355344,3.1354942,.78845739,4.0572481,1.8069217,9.758173,10.280348,3.8163321,5.1568894,.012874335,.0018084351,-4.3525195,-6.3152933
west virginia,54,WV,1991,0,0,0,0,.72500002,24.724001,3.112354,.42646641,15182,37.057095,20.35,20.35,WV,414,378,36,11383,4643,16026,23.586672,2.2463496,1,0,1,0,0,1273444,31684,3089,,0,10.65,814048,3702,455694,1273444,17642,263.53125,25.692715,1.1353793,-.85222167,9.6278658,3.6124599,3.0130808,-.3215836,3.2077744,2.3655598,9.3398762,8.4431162,3.2462075,5.574172,.023586672,.0022463496,-3.7470734,-6.0984488
wisconsin,55,WI,1991,1,0,0,0,1.492,41.889,5.1697474,2.0081005,18936,35.027958,22.2,22.2,WI,797,725,72,24019,21439,45458,15.948788,1.5838796,1,0,1,0,0,3684938,95820,14552,,0,5.375000000000001,2183538,12018,1489382,3684938,210378,150.05072,22.787914,1.6428238,.69718927,9.8488197,3.5561466,3.1000922,.40011749,3.7350233,1.6817585,10.0866,9.9729671,3.1262302,5.0109735,.015948787,.0015838796,-4.1383724,-6.4478779
wyoming,56,WY,1991,1,0,0,0,.46400002,40.786999,.7901842,5.6948133,18818,33.233002,9,9,WY,122,119,3,4640,1358,5998,19.839947,.50016671,1,0,1,0,0,468565,36717,1980,,0,4.966666666666666,212092,2390,254084,468566,16812,107.11717,5.7763977,-.23548919,1.7395558,9.8425694,3.5035434,2.1972246,-.76787066,3.7083633,1.6027489,8.4424696,7.2137685,1.7537802,4.6739235,.019839946,.00050016673,-3.9200578,-7.6005692
alabama,1,AL,1992,1,0,0,0,2.171,43.964001,25.532583,.64383507,17583,35.258862,19,18,AL,1031,935,96,22803,22959,45762,20.431799,2.0978105,1,0,1,0,0,3304064,72835,19366,,0,7.524999999999999,2107994,8270,1187800,3304064,41358,108.85025,28.942047,3.2399554,-.44031268,9.7746878,3.562717,2.8903718,.77518791,3.7833712,2.0182309,10.034647,10.041466,3.3652954,4.6899729,.0204318,.0020978106,-3.8906627,-6.1668611
alaska,2,AK,1992,1,0,0,0,2.151,49.09,4.2029023,3.1621985,24240,29.459467,8,8,AK,108,95,13,2005,1836,3841,24.733143,3.3845353,0,0,1,0,0,486095,11986,1648,,0,8.858333333333333,226642,1918,257535,486095,11191,137.52548,18.908894,1.4357753,1.1512675,10.095759,3.3830154,2.0794415,.76593286,3.8936553,2.1813586,7.6033993,7.5153446,2.9396324,4.9238091,.024733143,.0033845352,-3.6996112,-5.6885386
arizona,4,AZ,1992,1,0,0,0,2.0420001,63.577999,3.2590773,20.111523,18309,34.609539,18,18,AZ,809,650,159,13788,21259,35047,18.546524,4.5367651,1,0,1,0,0,2800901,40846,15123,,0,7.566666666666666,1736315,4394,1060192,2800901,71163,114.81287,42.508812,1.1814442,3.0012929,9.8151484,3.5441294,2.8903718,.71392977,4.1522675,2.0237527,9.5315542,9.9645357,3.7497115,4.7433038,.018546524,.0045367652,-3.987473,-5.3955412
